"﻿Done",Item,Section,later,keller
Yes,Wc-Reiniger,Haushalt,No,No
Yes,Meringue,,No,No
Yes,Wein,,No,No
Yes,Kiwi,Früchte,Yes,No
Yes,Orangen,Früchte,Yes,No
Yes,Broccoli,Gemüse,Yes,No
Yes,Kartoffeln,Gemüse,Yes,No
Yes,Rettich,Gemüse,Yes,No
Yes,Tomaten (coeur de Boeuf → roh essen),Gemüse,Yes,No
Yes,Parmesan / Parmiggiano / Grana Padano,Käse,Yes,No
Yes,Mozzarella,Milchprodukte,Yes,No
Yes,Raclettekäse >250g/pers,Milchprodukte,Yes,No
Yes,sauerrahm,Milchprodukte,Yes,No
Yes,Skyr (v.a. stracciatella),Milchprodukte,Yes,No
Yes,Ziegenfrischkäse,Milchprodukte,Yes,No
Yes,Ziegenkäse Scheiben,Milchprodukte,Yes,No
Yes,Lachs,Fisch,Yes,No
Yes,Mayonnaise coop bio,Saucen,Yes,No
Yes,Sojasauce,Saucen,Yes,No
Yes,Kreuzkümmel (ganz),Gewürze,Yes,No
Yes,Oregano,Gewürze,Yes,No
Yes,Paprikapulver,Gewürze,Yes,No
Yes,Dosenfleischkäse,Vorräte,Yes,No
Yes,Haferflocken,Vorräte,Yes,No
Yes,Hirseflocken,Vorräte,Yes,No
Yes,Kapern,Vorräte,Yes,No
Yes,Perlencouscous,Vorräte,Yes,No
Yes,Sardinenkonserven,Vorräte,Yes,No
Yes,"Tomaten (Pelati, Dose)",Vorräte,Yes,No
Yes,Kaffee (Bialetti Raffinato),Tee,Yes,No
Yes,Kaffee (mit Geschmack),Tee,Yes,No
Yes,Eis,Gefrorenes,Yes,No
Yes,Erbsen (gefroren),Gefrorenes,Yes,No
Yes,Bier,Getränke,Yes,No
Yes,Bubbles 0%,Getränke,Yes,No
Yes,Tonic,Getränke,Yes,No
Yes,Klarspüler,Reinigung,Yes,No
Yes,Waschmaschinenreiniger,Reinigung,Yes,No
Yes,Zahnpaste,Drogerie,Yes,No
Yes,Backpapier,Haushalt,Yes,No
Yes,Toilettenpapier,Haushalt,Yes,No
Yes,Züri-Säcke,Kasse,Yes,No
